DC_ID	DCC_ID
DC000472	DCC0242
DC000472	DCC0432
DC000473	DCC0180
DC000473	DCC0264
DC000474	DCC0125
DC000474	DCC0323
DC000475	DCC0080
DC000475	DCC0259
DC000476	DCC0181
DC000476	DCC0260
DC000477	DCC0169
DC000477	DCC0260
DC000478	DCC0249
DC000478	DCC0260
DC000479	DCC0036
DC000479	DCC0260
DC000480	DCC0014
DC000480	DCC0073
DC000481	DCC0227
DC000481	DCC0337
DC000482	DCC0260
DC000482	DCC0270
DC000483	DCC0038
DC000483	DCC0260
DC000484	DCC0134
DC000484	DCC0260
DC000485	DCC0226
DC000485	DCC0260
DC000486	DCC0376
DC000486	DCC0481
DC000487	DCC0102
DC000487	DCC0130
DC000488	DCC0130
DC000488	DCC0304
DC000489	DCC0130
DC000489	DCC0200
DC000490	DCC0130
DC000490	DCC0350
DC000491	DCC0259
DC000491	DCC0478
DC000492	DCC0019
DC000492	DCC0203
DC000492	DCC0234
DC000493	DCC0093
DC000493	DCC0124
DC000494	DCC0144
DC000494	DCC0242
DC000494	DCC0280
DC000495	DCC0206
DC000495	DCC1432
DC000504	DCC0083
DC000504	DCC0199
DC000509	DCC0313
DC000509	DCC0468
DC000509	DCC1400
DC000514	DCC0187
DC000514	DCC0235
DC000514	DCC1377
DC000519	DCC1474
DC000519	DCC1478
DC000522	DCC0189
DC000522	DCC0295
DC000531	DCC1524
DC000531	DCC1551
DC000539	DCC0043
DC000539	DCC0166
DC000539	DCC0920
DC000539	DCC1238
DC000543	DCC0173
DC000543	DCC0223
DC000558	DCC0052
DC000558	DCC0190
DC000558	DCC0285
DC000558	DCC0352
DC000561	DCC0014
DC000561	DCC1374
DC000566	DCC0096
DC000566	DCC0123
DC000566	DCC0329
DC000566	DCC0332
DC000573	DCC0203
DC000573	DCC0234
DC000573	DCC1165
DC000581	DCC0009
DC000581	DCC0123
DC000581	DCC0126
DC000581	DCC0191
DC000581	DCC0259
DC000583	DCC0171
DC000583	DCC1542
DC000594	DCC0001
DC000594	DCC0094
DC000601	DCC0242
DC000601	DCC1534
DC000610	DCC0223
DC000610	DCC1396
DC000611	DCC0131
DC000611	DCC0186
DC000611	DCC0273
DC000611	DCC1525
DC000616	DCC0008
DC000616	DCC0123
DC000616	DCC0259
DC000616	DCC0323
DC000623	DCC0082
DC000623	DCC1680
DC000629	DCC0009
DC000629	DCC0156
DC000629	DCC0173
DC000649	DCC0323
DC000649	DCC0332
DC000652	DCC0117
DC000652	DCC0259
DC000654	DCC0573
DC000654	DCC1414
DC000664	DCC0802
DC000664	DCC1489
DC000690	DCC0118
DC000690	DCC0284
DC000690	DCC1330
DC000697	DCC0048
DC000697	DCC1376
DC000699	DCC0016
DC000699	DCC0156
DC000699	DCC0278
DC000703	DCC0215
DC000703	DCC1417
DC000705	DCC1164
DC000705	DCC1205
DC000713	DCC0012
DC000713	DCC0128
DC000713	DCC0162
DC000713	DCC0189
DC000720	DCC1259
DC000720	DCC1614
DC000725	DCC0295
DC000725	DCC0323
DC000730	DCC0552
DC000730	DCC1479
DC000001	DCC0005
DC000001	DCC0193
DC000001	DCC0257
DC000002	DCC0199
DC000002	DCC0216
DC000003	DCC0140
DC000003	DCC0186
DC000003	DCC0388
DC000004	DCC0140
DC000004	DCC0172
DC000005	DCC0059
DC000005	DCC0100
DC000006	DCC0139
DC000006	DCC0239
DC000007	DCC0042
DC000007	DCC0252
DC000008	DCC0252
DC000008	DCC0343
DC000009	DCC0194
DC000009	DCC0343
DC000010	DCC0157
DC000010	DCC0250
DC000011	DCC0207
DC000011	DCC0252
DC000012	DCC0180
DC000012	DCC0340
DC000013	DCC0194
DC000013	DCC0244
DC000014	DCC0020
DC000014	DCC0035
DC000015	DCC0070
DC000015	DCC0194
DC000016	DCC0040
DC000016	DCC0166
DC000017	DCC0166
DC000017	DCC0185
DC000018	DCC0044
DC000018	DCC0166
DC000019	DCC0166
DC000019	DCC0417
DC000020	DCC0282
DC000020	DCC0289
DC000021	DCC0168
DC000021	DCC0480
DC000022	DCC0061
DC000022	DCC0285
DC000023	DCC0056
DC000023	DCC0147
DC000023	DCC0212
DC000023	DCC0242
DC000024	DCC0117
DC000024	DCC0256
DC000025	DCC0131
DC000025	DCC0301
DC000026	DCC0299
DC000026	DCC0302
DC000027	DCC0021
DC000027	DCC0240
DC000027	DCC0310
DC000028	DCC0159
DC000028	DCC0200
DC000028	DCC0443
DC000029	DCC0108
DC000029	DCC0117
DC000029	DCC0123
DC000029	DCC0128
DC000030	DCC0204
DC000030	DCC0209
DC000031	DCC0117
DC000031	DCC0128
DC000031	DCC0259
DC000032	DCC0260
DC000032	DCC0315
DC000033	DCC0112
DC000033	DCC0240
DC000034	DCC0198
DC000034	DCC0260
DC000035	DCC0078
DC000035	DCC0240
DC000036	DCC0071
DC000036	DCC0240
DC000037	DCC0167
DC000037	DCC0196
DC000038	DCC0021
DC000038	DCC0031
DC000038	DCC0240
DC000039	DCC0051
DC000039	DCC0078
DC000039	DCC0240
DC000040	DCC0021
DC000040	DCC0031
DC000040	DCC0051
DC000040	DCC0240
DC000041	DCC0240
DC000041	DCC0346
DC000042	DCC0247
DC000042	DCC0260
DC000043	DCC0085
DC000043	DCC0260
DC000044	DCC0014
DC000044	DCC0260
DC000045	DCC0074
DC000045	DCC0260
DC000046	DCC0137
DC000046	DCC0269
DC000047	DCC0119
